Product, ItemCount, RunningTotal, RowNo
core.chargeable.activesync, 2, 2, 2218
core.chargeable.activesync, 1, 3, 3144
core.chargeable.activesync, 4, 7, 3271
core.chargeable.activesync, 2, 9, 4115
core.chargeable.activesync, 4, 13, 4243
core.chargeable.activesync, 1, 14, 5540
core.chargeable.activesync, 2, 16, 6744
core.chargeable.activesync, 1, 17, 6785
core.chargeable.activesync, 2, 19, 7136
core.chargeable.activesync, 3, 22, 7260
core.chargeable.activesync, 2, 24, 7430
core.chargeable.activesync, 2, 26, 7636
core.chargeable.activesync, 17, 43, 7863
core.chargeable.activesync, 11, 54, 7993
core.chargeable.activesync, 1, 55, 8184
core.chargeable.activesync, 1, 56, 8654
core.chargeable.activesync, 1, 57, 8765
core.chargeable.activesync, 1, 58, 9064
core.chargeable.activesync, 1, 59, 9759
core.chargeable.activesync, 1, 60, 12830
core.chargeable.activesync, 1, 61, 12977
core.chargeable.addbackupspace, 5000, 5000, 5694
core.chargeable.addowaspace, 13000, 13000, 6742
core.chargeable.addowaspace, 2000, 15000, 6783
core.chargeable.addowaspace, 10000, 25000, 7134
core.chargeable.addowaspace, 9000, 34000, 7428
core.chargeable.addowaspace, 147000, 181000, 7861
core.chargeable.addowaspace, 21000, 202000, 7991
core.chargeable.addowaspace, 8000, 210000, 12828
core.chargeable.addpubfolder, 1, 1, 7505
core.chargeable.addspspace, 12000, 12000, 2843
core.chargeable.addspspace, 4000, 16000, 3725
core.chargeable.addspspace, 2000, 18000, 5138
core.chargeable.addspspace, 7000, 25000, 6507
core.chargeable.addspspace, 4000, 29000, 7481
core.chargeable.advancemailsec, 2, 2, 1050
core.chargeable.advancemailsec, 2, 4, 1056
core.chargeable.advancemailsec, 1, 5, 1062
core.chargeable.advancemailsec, 1, 6, 1066
core.chargeable.advancemailsec, 3, 9, 1074
core.chargeable.advancemailsec, 3, 12, 1079
core.chargeable.advancemailsec, 1, 13, 1084
core.chargeable.advancemailsec, 3, 16, 1089
core.chargeable.advancemailsec, 5, 21, 1093
core.chargeable.advancemailsec, 98, 119, 1100
core.chargeable.advancemailsec, 1, 120, 1108
core.chargeable.advancemailsec, 1, 121, 1113
core.chargeable.advancemailsec, 2, 123, 1117
core.chargeable.advancemailsec, 1, 124, 1126
core.chargeable.advancemailsec, 3, 127, 1130
core.chargeable.advancemailsec, 49, 176, 1144
core.chargeable.advancemailsec, 1, 177, 1150
core.chargeable.advancemailsec, 1, 178, 1155
core.chargeable.advancemailsec, 4, 182, 1160
core.chargeable.advancemailsec, 1, 183, 1165
core.chargeable.advancemailsec, 3, 186, 1178
core.chargeable.advancemailsec, 2, 188, 1185
core.chargeable.advancemailsec, 1, 189, 1193
core.chargeable.advancemailsec, 4, 193, 1198
core.chargeable.advancemailsec, 1, 194, 1203
core.chargeable.advancemailsec, 1, 195, 1208
core.chargeable.advancemailsec, 3, 198, 1359
core.chargeable.advancemailsec, 5, 203, 1364
core.chargeable.advancemailsec, 5, 208, 1369
core.chargeable.advancemailsec, 1, 209, 1374
core.chargeable.advancemailsec, 1, 210, 1379
core.chargeable.advancemailsec, 3, 213, 1384
core.chargeable.advancemailsec, 3, 216, 1389
core.chargeable.advancemailsec, 3, 219, 1396
core.chargeable.advancemailsec, 1, 220, 1401
core.chargeable.advancemailsec, 1, 221, 1958
core.chargeable.advancemailsec, 1, 222, 1966
core.chargeable.advancemailsec, 1, 223, 1972
core.chargeable.advancemailsec, 3, 226, 1978
core.chargeable.advancemailsec, 5, 231, 1984
core.chargeable.advancemailsec, 1, 232, 1991
core.chargeable.advancemailsec, 3, 235, 1997
core.chargeable.advancemailsec, 1, 236, 2003
core.chargeable.advancemailsec, 2, 238, 2009
core.chargeable.advancemailsec, 1, 239, 2016
core.chargeable.advancemailsec, 5, 244, 2022
core.chargeable.advancemailsec, 9, 253, 2028
core.chargeable.advancemailsec, 3, 256, 2034
core.chargeable.advancemailsec, 6, 262, 2040
core.chargeable.advancemailsec, 4, 266, 2046
core.chargeable.advancemailsec, 15, 281, 2052
core.chargeable.advancemailsec, 8, 289, 2058
core.chargeable.advancemailsec, 1, 290, 2064
core.chargeable.advancemailsec, 133, 423, 2071
core.chargeable.advancemailsec, 1, 424, 2077
core.chargeable.advancemailsec, 3, 427, 2083
core.chargeable.advancemailsec, 16, 443, 2089
core.chargeable.advancemailsec, 9, 452, 2095
core.chargeable.advancemailsec, 6, 458, 2101
core.chargeable.advancemailsec, 3, 461, 2109
core.chargeable.advancemailsec, 1, 462, 2115
core.chargeable.advancemailsec, 1, 463, 2121
core.chargeable.advancemailsec, 1, 464, 2127
core.chargeable.advancemailsec, 1, 465, 2133
core.chargeable.advancemailsec, 1, 466, 2139
core.chargeable.advancemailsec, 24, 490, 2145
core.chargeable.advancemailsec, 7, 497, 2151
core.chargeable.advancemailsec, 2, 499, 2157
core.chargeable.advancemailsec, 2, 501, 2163
core.chargeable.advancemailsec, 1, 502, 2169
core.chargeable.advancemailsec, 4, 506, 2177
core.chargeable.advancemailsec, 3, 509, 2183
core.chargeable.advancemailsec, 1, 510, 2189
core.chargeable.advancemailsec, 15, 525, 2196
core.chargeable.advancemailsec, 13, 538, 2201
core.chargeable.advancemailsec, 8, 546, 2206
core.chargeable.advancemailsec, 1, 547, 2212
